id,vendor_id,duration,flex_time,buffer_post,active,sort_order,classification,created,updated
197,37,75,0,0,1,4,1,2011-09-19 11:39:04,2013-06-25 02:36:04
247,42,60,0,0,1,5,1,2011-09-20 12:45:23,2024-05-22 18:34:06
381,51,120,0,90,0,8,1,2011-09-24 17:14:24,2015-09-11 15:21:30
520,68,30,0,15,1,1,1,2011-11-02 16:32:06,2025-12-26 20:53:51
928,202,90,0,15,1,4,1,2012-02-28 15:09:59,2025-10-02 15:08:10
1165,236,60,0,0,1,8,1,2012-04-10 21:21:08,2012-04-10 21:21:08
1320,295,60,0,0,1,11,1,2012-05-29 22:42:06,2012-05-29 22:42:06
1335,298,75,0,0,1,1,1,2012-06-01 11:17:34,2024-02-09 15:23:08
1336,298,60,0,0,1,2,1,2012-06-01 11:17:34,2024-02-09 15:23:47
1554,343,60,0,0,1,2,1,2012-08-08 01:57:26,2013-10-26 00:13:32
1908,461,75,0,0,1,33,1,2012-11-21 16:34:14,2012-11-30 21:14:31
1953,473,90,0,0,1,3,1,2012-12-13 16:34:52,2017-11-14 22:30:51
2214,519,15,0,0,1,9,1,2013-02-26 01:53:31,2013-02-26 02:26:58
2296,546,75,0,0,1,2,1,2013-03-25 16:10:31,2013-03-25 19:51:42
2379,562,120,0,0,1,4,1,2013-04-06 02:14:06,2013-04-06 02:14:06
2565,583,15,0,0,0,0,1,2013-05-13 00:54:58,2013-05-13 00:55:51
2620,608,15,0,0,1,32,1,2013-05-21 03:12:10,2025-03-20 00:33:15
2858,54,75,0,0,0,14,1,2013-06-04 04:16:34,2013-06-16 02:49:09
2947,645,60,0,0,1,3,1,2013-06-22 23:14:24,2013-06-23 00:09:09
3036,661,45,0,0,1,58,1,2013-07-09 02:26:45,2019-10-21 17:58:08
3074,661,30,0,0,1,42,1,2013-07-11 23:54:42,2020-07-21 21:50:23
3342,713,120,0,0,1,5,1,2013-08-16 19:53:31,2024-02-01 22:08:32
3345,54,15,0,0,0,61,1,2013-08-16 22:26:08,2013-12-16 17:27:30
3398,709,45,0,0,1,48,1,2013-08-21 20:03:41,2015-04-15 15:59:11
3526,743,240,0,0,0,12,1,2013-09-09 21:04:37,2014-01-23 17:08:45
3975,486,105,0,0,1,2,1,2013-12-16 19:56:57,2026-02-21 00:13:22
4011,661,45,0,0,1,72,1,2013-12-28 19:56:27,2020-06-19 00:14:53
