vendor_id,vendor_state,is_vendor_smb,vendor_created,location_id,location_timezone,location_sunday_open,location_sunday_closed,location_monday_open,location_monday_closed,location_tuesday_open,location_tuesday_closed,location_wednesday_open,location_wednesday_closed,location_thursday_open,location_thursday_closed,location_friday_open,location_friday_closed,location_saturday_open,location_saturday_closed,location_is_active,location_created_at,location_updated_at
135,cancelled,1,2012-01-21 06:45:00,88,America/Swift_Current,,,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,13:00:00,20:00:00,10:00:00,18:00:00,,,1,2012-01-21 07:48:44,2019-08-17 17:35:50
298,paid,1,2012-05-31 19:04:00,185,America/Regina,,,10:00:00,17:00:00,10:00:00,17:00:00,10:00:00,17:00:00,10:00:00,17:00:00,10:00:00,17:00:00,,,1,2012-05-31 19:12:31,2014-08-29 22:00:34
576,live,1,2013-04-19 18:57:00,417,America/Regina,,,,,,,,,,,,,,,1,2013-04-19 19:19:51,2021-08-29 02:49:07
874,paid,1,2014-01-09 20:24:28,772,America/Regina,12:00:00,23:45:00,07:00:00,23:45:00,07:00:00,23:45:00,07:00:00,23:45:00,07:00:00,23:45:00,07:00:00,23:45:00,12:00:00,23:45:00,1,2014-01-09 20:24:28,2014-01-16 23:12:34
936,paid,1,2014-02-11 16:38:00,861,America/Regina,,,,,,,,,,,,,,,1,2014-02-11 16:38:09,2019-08-15 19:06:01
940,paid,1,2014-02-12 16:54:24,865,America/Indiana/Indianapolis,06:30:00,21:00:00,06:30:00,21:00:00,06:30:00,21:00:00,06:30:00,21:00:00,06:30:00,21:00:00,06:30:00,21:00:00,06:30:00,21:00:00,1,2014-02-12 16:54:24,2016-05-15 23:20:05
1217,paid,1,2014-08-29 18:42:00,1172,America/Regina,,,,,10:00:00,19:00:00,10:00:00,19:00:00,10:00:00,19:00:00,10:00:00,19:00:00,,,1,2014-08-29 18:42:09,2022-08-02 15:17:00
1802,paid,1,2015-10-05 15:56:40,1970,America/Chicago,,,,,,,11:00:00,19:00:00,10:00:00,18:00:00,09:00:00,17:00:00,09:00:00,17:00:00,1,2015-10-05 15:56:40,2024-11-06 20:42:15
68,paid,1,2011-11-29 14:21:00,50,America/Regina,,,,,10:00:00,17:00:00,10:30:00,18:00:00,10:00:00,15:00:00,,,,,1,2011-11-02 16:26:31,2023-12-19 05:29:00
388,expired,1,2012-09-18 18:23:17,254,America/Toronto,13:00:00,17:00:00,09:00:00,17:00:00,09:00:00,19:00:00,09:00:00,17:00:00,09:00:00,19:00:00,09:00:00,19:00:00,13:00:00,17:00:00,1,2012-09-18 18:35:04,2012-09-18 18:38:42
473,paid,1,2012-12-13 16:27:00,319,America/Regina,,,,,09:00:00,16:00:00,09:00:00,17:00:00,,,,,,,1,2012-12-13 16:34:52,2026-03-29 13:57:14
747,paid,1,2013-09-07 04:08:19,625,America/New_York,,,,,,,,,,,,,,,1,2013-09-07 04:08:19,2020-04-25 01:30:02
93,paid,1,2011-12-02 12:19:27,63,America/Toronto,,,09:30:00,17:30:00,09:30:00,20:30:00,09:30:00,20:30:00,09:30:00,16:00:00,09:30:00,17:00:00,09:00:00,12:30:00,1,2011-12-02 12:42:50,2023-09-12 00:20:06
377,paid,1,2012-08-27 16:37:47,244,America/Regina,,,,,09:30:00,12:30:00,09:30:00,12:30:00,09:30:00,12:30:00,,,,,1,2012-08-27 16:46:40,2026-02-07 01:06:44
1478,paid,1,2015-03-31 00:55:00,1480,America/Regina,04:00:00,"1 day, 0:00:00",04:00:00,"1 day, 0:00:00",04:00:00,"1 day, 0:00:00",04:00:00,"1 day, 0:00:00",04:00:00,"1 day, 0:00:00",04:00:00,"1 day, 0:00:00",04:00:00,"1 day, 0:00:00",1,2015-03-31 00:55:35,2022-01-12 16:50:56
1787,expired,1,2015-09-28 23:25:46,1951,America/Regina,,,,,,,,,,,,,,,1,2015-09-28 23:25:46,2022-04-29 10:01:18
2026,paid,1,2016-03-18 15:10:19,2452,America/Toronto,,,09:00:00,19:00:00,09:00:00,19:00:00,09:00:00,19:00:00,09:00:00,19:00:00,09:00:00,19:00:00,,,1,2016-03-22 19:21:03,2024-09-25 13:54:51
1370,cancelled,1,2015-01-05 17:49:00,3137,America/Regina,,,,,,,,,,,,,,,0,2016-10-20 18:24:47,2016-12-11 02:48:55
2496,paid,0,2018-04-11 18:50:21,3706,America/Vancouver,,,09:30:00,16:00:00,09:30:00,16:00:00,09:30:00,16:00:00,09:30:00,16:00:00,09:30:00,16:00:00,,,1,2018-04-11 22:37:32,2022-02-15 18:35:41
2496,paid,0,2018-04-11 18:50:21,3710,America/Vancouver,,,09:00:00,17:00:00,09:00:00,17:00:00,09:30:00,17:00:00,09:00:00,17:00:00,09:00:00,17:00:00,,,1,2018-04-11 22:37:34,2026-02-05 18:52:40
2496,paid,0,2018-04-11 18:50:21,3712,America/Vancouver,,,,,09:30:00,16:00:00,09:30:00,16:00:00,09:30:00,16:00:00,09:30:00,16:00:00,09:30:00,16:00:00,1,2018-04-11 22:37:36,2026-05-09 14:30:09
2496,paid,0,2018-04-11 18:50:21,3717,America/Vancouver,,,,,10:00:00,16:00:00,10:00:00,16:00:00,10:00:00,16:00:00,10:00:00,16:00:00,,,1,2018-04-11 22:37:39,2025-10-16 21:52:50
2496,paid,0,2018-04-11 18:50:21,3718,America/Vancouver,,,09:30:00,17:00:00,09:30:00,17:00:00,09:30:00,17:00:00,09:30:00,17:00:00,09:30:00,17:00:00,09:30:00,16:00:00,1,2018-04-11 22:37:39,2026-01-22 18:29:54
2496,paid,0,2018-04-11 18:50:21,3719,America/Vancouver,,,10:00:00,17:00:00,10:00:00,17:00:00,10:00:00,17:00:00,10:00:00,17:00:00,10:00:00,17:00:00,,,1,2018-04-11 22:37:40,2025-10-07 20:29:18
2507,paid,0,2018-08-08 19:50:21,4058,America/Vancouver,,,,,09:30:00,17:00:00,09:30:00,17:00:00,09:30:00,17:00:00,09:30:00,17:00:00,09:30:00,16:00:00,1,2018-09-05 13:41:50,2021-12-31 16:56:13
2507,paid,0,2018-08-08 19:50:21,4069,America/Vancouver,,,09:30:00,17:00:00,09:30:00,17:00:00,09:30:00,17:00:00,09:30:00,17:00:00,09:30:00,17:00:00,,,1,2018-09-05 13:41:57,2023-03-20 21:27:59
2507,paid,0,2018-08-08 19:50:21,4074,America/Vancouver,,,09:30:00,17:00:00,09:30:00,17:00:00,09:30:00,17:00:00,09:30:00,17:00:00,09:30:00,17:00:00,,,1,2018-09-05 13:41:59,2023-03-20 21:26:26
2507,paid,0,2018-08-08 19:50:21,4077,America/Vancouver,,,09:30:00,17:00:00,09:30:00,17:00:00,09:30:00,17:00:00,09:30:00,17:00:00,09:30:00,17:00:00,,,1,2018-09-05 13:42:01,2023-03-20 21:25:05
2519,live,0,2018-11-06 16:42:36,4197,America/Toronto,,,09:30:00,17:00:00,09:30:00,17:00:00,09:30:00,17:00:00,09:30:00,18:00:00,09:30:00,17:00:00,,,1,2018-11-06 18:49:41,2022-11-08 20:27:46
2519,live,0,2018-11-06 16:42:36,4200,America/Toronto,,,09:30:00,17:00:00,09:30:00,17:00:00,09:30:00,17:00:00,09:30:00,18:00:00,09:30:00,17:00:00,,,1,2018-11-06 18:53:28,2022-11-08 20:27:46
2519,live,0,2018-11-06 16:42:36,4201,America/Toronto,,,09:30:00,17:00:00,09:30:00,17:00:00,09:30:00,17:00:00,09:30:00,18:00:00,09:30:00,17:00:00,,,1,2018-11-06 18:54:35,2022-11-08 20:27:46
2519,live,0,2018-11-06 16:42:36,4202,America/Toronto,,,09:30:00,17:00:00,09:30:00,17:00:00,09:30:00,17:00:00,09:30:00,18:00:00,09:30:00,17:00:00,,,1,2018-11-06 18:55:42,2022-11-08 20:27:46
2519,live,0,2018-11-06 16:42:36,4367,America/Toronto,,,09:30:00,17:00:00,09:30:00,17:00:00,09:30:00,17:00:00,09:30:00,18:00:00,09:30:00,17:00:00,,,1,2019-02-06 14:55:35,2022-11-08 20:27:46
2537,live,0,2019-05-30 20:47:37,4671,America/Regina,,,09:30:00,17:00:00,09:30:00,17:00:00,09:30:00,17:00:00,09:30:00,17:00:00,09:30:00,17:00:00,,,1,2019-06-19 18:01:55,2024-02-01 19:58:38
2542,expired,0,2019-07-29 13:58:38,4718,America/Regina,,,09:00:00,16:00:00,09:00:00,16:00:00,09:00:00,16:00:00,09:00:00,17:00:00,09:00:00,17:00:00,,,1,2019-09-30 16:22:04,2021-11-04 14:25:30
2542,expired,0,2019-07-29 13:58:38,4724,America/Regina,,,09:00:00,16:00:00,09:00:00,16:00:00,09:00:00,16:00:00,09:00:00,17:00:00,09:00:00,17:00:00,,,1,2019-09-30 16:22:07,2021-11-04 14:25:22
2542,expired,0,2019-07-29 13:58:38,4726,America/Regina,,,09:00:00,16:00:00,09:00:00,16:00:00,09:00:00,16:00:00,09:00:00,17:00:00,09:00:00,17:00:00,,,1,2019-09-30 16:22:08,2021-11-04 14:25:16
2542,expired,0,2019-07-29 13:58:38,4728,America/Regina,,,09:00:00,16:00:00,09:00:00,16:00:00,09:00:00,16:00:00,09:00:00,17:00:00,09:00:00,17:00:00,,,1,2019-09-30 16:22:09,2021-11-04 14:25:16
2542,expired,0,2019-07-29 13:58:38,4731,America/Regina,,,09:00:00,16:00:00,09:00:00,16:00:00,09:00:00,16:00:00,09:00:00,17:00:00,09:00:00,17:00:00,,,1,2019-09-30 16:22:10,2024-04-01 19:34:14
2542,expired,0,2019-07-29 13:58:38,4741,America/Regina,,,09:00:00,16:00:00,09:00:00,16:00:00,09:00:00,16:00:00,09:00:00,17:00:00,09:00:00,17:00:00,,,1,2019-09-30 16:22:15,2021-11-04 14:25:09
2542,expired,0,2019-07-29 13:58:38,4747,America/Regina,,,09:00:00,16:00:00,09:00:00,16:00:00,09:00:00,16:00:00,09:00:00,17:00:00,09:00:00,17:00:00,,,1,2019-09-30 16:22:18,2021-11-04 14:25:09
2542,expired,0,2019-07-29 13:58:38,4750,America/Regina,,,09:00:00,16:00:00,09:00:00,16:00:00,09:00:00,16:00:00,09:00:00,17:00:00,09:00:00,17:00:00,,,1,2019-09-30 16:22:19,2021-11-04 14:24:59
2542,expired,0,2019-07-29 13:58:38,4752,America/Regina,,,09:00:00,16:00:00,09:00:00,16:00:00,09:00:00,16:00:00,09:00:00,17:00:00,09:00:00,17:00:00,,,1,2019-09-30 16:22:20,2021-11-04 14:24:59
2542,expired,0,2019-07-29 13:58:38,4754,America/Regina,,,09:00:00,17:00:00,09:00:00,17:00:00,09:00:00,17:00:00,09:00:00,18:00:00,09:00:00,18:00:00,09:00:00,17:00:00,1,2019-09-30 16:22:21,2021-11-04 14:24:59
2542,expired,0,2019-07-29 13:58:38,4759,America/Regina,,,09:00:00,16:00:00,09:00:00,16:00:00,09:00:00,16:00:00,09:00:00,17:00:00,09:00:00,17:00:00,,,1,2019-09-30 16:22:23,2021-11-04 14:24:59
2542,expired,0,2019-07-29 13:58:38,4769,America/Regina,,,09:00:00,16:00:00,09:00:00,16:00:00,09:00:00,16:00:00,09:00:00,17:00:00,09:00:00,17:00:00,,,1,2019-09-30 16:22:28,2021-11-04 14:24:52
2542,expired,0,2019-07-29 13:58:38,4770,America/Regina,,,10:00:00,15:00:00,10:00:00,15:00:00,10:00:00,15:00:00,10:00:00,15:00:00,10:00:00,15:00:00,,,1,2019-09-30 16:22:28,2023-01-16 16:08:04
2554,live,0,2020-05-15 14:39:46,5008,America/Toronto,,,10:00:00,17:00:00,10:00:00,17:00:00,10:00:00,17:00:00,10:00:00,17:00:00,10:00:00,17:00:00,,,1,2020-06-04 16:49:17,2024-06-20 16:19:17
2554,live,0,2020-05-15 14:39:46,5011,America/Toronto,,,10:00:00,17:00:00,10:00:00,17:00:00,10:00:00,17:00:00,10:00:00,17:00:00,10:00:00,17:00:00,,,1,2020-06-04 16:49:17,2024-06-20 16:14:33
2554,live,0,2020-05-15 14:39:46,5016,America/Winnipeg,,,10:00:00,16:00:00,10:00:00,16:00:00,10:00:00,16:00:00,10:00:00,16:00:00,10:00:00,16:00:00,,,1,2020-06-04 16:49:18,2026-01-09 17:30:16
2554,live,0,2020-05-15 14:39:46,5018,America/Winnipeg,,,10:00:00,16:00:00,10:00:00,16:00:00,10:00:00,16:00:00,10:00:00,16:00:00,10:00:00,16:00:00,,,1,2020-06-04 16:49:19,2025-01-09 17:31:02
2554,live,0,2020-05-15 14:39:46,5019,America/Toronto,,,10:00:00,17:00:00,10:00:00,17:00:00,10:00:00,17:00:00,10:00:00,17:00:00,10:00:00,17:00:00,,,0,2020-06-04 16:49:19,2024-08-01 14:51:36
2554,live,0,2020-05-15 14:39:46,5021,America/Toronto,,,10:00:00,17:00:00,10:00:00,17:00:00,10:00:00,17:00:00,10:00:00,17:00:00,10:00:00,17:00:00,,,1,2020-06-04 16:49:19,2024-06-20 16:15:42
2554,live,0,2020-05-15 14:39:46,5025,America/Toronto,,,10:00:00,17:00:00,10:00:00,17:00:00,10:00:00,17:00:00,10:00:00,17:00:00,10:00:00,17:00:00,,,1,2020-06-04 16:49:20,2024-06-20 16:20:37
2554,live,0,2020-05-15 14:39:46,5031,America/Toronto,,,10:00:00,17:00:00,10:00:00,17:00:00,10:00:00,17:00:00,10:00:00,17:00:00,10:00:00,17:00:00,,,1,2020-06-04 16:49:21,2025-05-08 19:59:59
2554,live,0,2020-05-15 14:39:46,5032,America/Toronto,,,10:00:00,16:00:00,10:00:00,16:00:00,10:00:00,16:00:00,10:00:00,16:00:00,10:00:00,16:00:00,,,1,2020-06-04 16:49:21,2024-06-20 16:16:35
2554,live,0,2020-05-15 14:39:46,5034,America/Winnipeg,,,10:00:00,17:00:00,10:00:00,17:00:00,10:00:00,17:00:00,10:00:00,17:00:00,10:00:00,17:00:00,,,1,2020-06-04 16:49:21,2024-06-20 16:14:26
2554,live,0,2020-05-15 14:39:46,5035,America/Winnipeg,,,10:00:00,16:00:00,10:00:00,16:00:00,10:00:00,16:00:00,10:00:00,16:00:00,10:00:00,16:00:00,,,0,2020-06-04 16:49:21,2025-01-09 17:34:34
2562,live,0,2020-08-24 15:36:41,5082,America/Toronto,,,09:30:00,17:00:00,09:30:00,17:00:00,10:00:00,17:00:00,09:30:00,18:00:00,09:30:00,17:00:00,09:30:00,13:00:00,1,2020-09-02 14:53:41,2025-02-07 18:57:22
2562,live,0,2020-08-24 15:36:41,5086,America/Toronto,,,09:30:00,17:00:00,09:30:00,17:00:00,10:00:00,17:00:00,09:30:00,18:00:00,09:30:00,17:00:00,09:30:00,13:00:00,1,2020-09-02 14:53:44,2022-10-04 19:14:09
2550,cancelled,0,2020-04-08 15:01:11,5110,America/Toronto,08:00:00,20:00:00,08:00:00,20:00:00,08:00:00,20:00:00,08:00:00,20:00:00,08:00:00,20:00:00,08:00:00,20:00:00,08:00:00,20:00:00,0,2020-10-06 17:09:36,2022-11-21 19:13:34
2554,live,0,2020-05-15 14:39:46,5604,America/Toronto,,,10:00:00,16:00:00,10:00:00,16:00:00,10:00:00,16:00:00,10:00:00,16:00:00,10:00:00,16:00:00,,,1,2020-10-19 15:06:57,2024-06-20 16:16:45
2573,live,0,2020-12-23 20:39:05,5909,America/Winnipeg,,,09:30:00,17:00:00,09:30:00,17:00:00,09:30:00,17:00:00,10:00:00,18:00:00,09:30:00,17:00:00,09:30:00,16:00:00,1,2020-12-30 14:18:19,2024-06-18 22:31:27
2573,live,0,2020-12-23 20:39:05,5910,America/Winnipeg,,,09:30:00,17:00:00,09:30:00,17:00:00,09:30:00,17:00:00,10:00:00,18:00:00,09:30:00,17:00:00,09:30:00,16:00:00,1,2020-12-30 14:19:03,2024-06-18 22:31:50
2573,live,0,2020-12-23 20:39:05,5913,America/Winnipeg,,,09:30:00,17:00:00,09:30:00,17:00:00,09:30:00,17:00:00,10:00:00,18:00:00,09:30:00,17:00:00,09:30:00,16:00:00,1,2020-12-30 14:21:44,2024-06-18 22:32:57
2573,live,0,2020-12-23 20:39:05,5914,America/Winnipeg,,,09:30:00,17:00:00,09:30:00,17:00:00,09:30:00,17:00:00,10:00:00,18:00:00,09:30:00,17:00:00,09:30:00,16:00:00,1,2020-12-30 14:22:37,2024-06-18 22:33:17
2573,live,0,2020-12-23 20:39:05,5915,America/Winnipeg,,,09:30:00,17:00:00,09:30:00,17:00:00,09:30:00,17:00:00,10:00:00,18:00:00,09:30:00,17:00:00,09:30:00,16:00:00,1,2020-12-30 14:23:26,2024-12-05 17:04:30
2575,live,0,2021-01-07 19:04:49,6318,America/Vancouver,,,09:30:00,16:30:00,09:30:00,16:30:00,09:30:00,16:30:00,09:30:00,16:30:00,09:30:00,17:00:00,,,1,2021-01-21 19:31:56,2025-02-03 20:12:49
2591,live,0,2021-05-10 17:52:36,6649,America/St_Johns,,,,,,,,,,,,,,,1,2021-05-23 16:56:14,2025-08-18 17:50:39
2591,live,0,2021-05-10 17:52:36,6651,America/Toronto,,,,,,,,,,,,,,,1,2021-05-23 16:56:15,2025-06-25 15:11:11
2591,live,0,2021-05-10 17:52:36,6657,America/Toronto,,,,,,,,,,,,,,,1,2021-05-23 16:56:16,2022-08-30 19:28:57
2591,live,0,2021-05-10 17:52:36,6658,America/Toronto,,,,,,,,,,,,,,,1,2021-05-23 16:56:16,2025-07-02 17:11:29
2591,live,0,2021-05-10 17:52:36,6675,America/Toronto,,,,,,,,,,,,,,,1,2021-05-23 16:56:21,2025-06-26 16:10:51
2591,live,0,2021-05-10 17:52:36,6676,America/Toronto,,,,,,,,,,,,,,,1,2021-05-23 16:56:21,2025-07-02 17:16:18
2591,live,0,2021-05-10 17:52:36,6700,America/Halifax,,,,,,,,,,,,,,,1,2021-05-23 16:56:27,2021-11-03 17:04:49
2591,live,0,2021-05-10 17:52:36,6710,America/Halifax,,,,,,,,,,,,,,,1,2021-05-23 16:56:31,2024-04-05 21:47:04
2591,live,0,2021-05-10 17:52:36,6715,America/Toronto,,,,,,,,,,,,,,,1,2021-05-23 16:56:32,2024-03-07 16:07:56
2591,live,0,2021-05-10 17:52:36,6723,America/Toronto,,,,,,,,,,,,,,,1,2021-05-23 16:56:34,2024-09-12 20:21:25
2591,live,0,2021-05-10 17:52:36,6734,America/Toronto,,,,,,,,,,,,,,,1,2021-05-23 16:56:38,2024-10-08 17:16:51
2591,live,0,2021-05-10 17:52:36,6736,America/Toronto,,,,,,,,,,,,,,,1,2021-05-23 16:56:38,2024-10-10 16:52:30
